"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H1,H2,H3";"MountingHole_2.1mm";4;"MountingHole";;;
2;"R1,R6,R2";"R_0805_2012Metric";3;"10K";;;
3;"U3,U1";"SOIC-8_5.23x5.23mm_P1.27mm";2;"24LC1025";;;
4;"R4,R3";"R_0805_2012Metric";2;"4.7K";;;
5;"C1,C4";"C_0805_2012Metric";2;"0.1uF";;;
6;"J3,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
7;"C2,C3";"C_0805_2012Metric";2;"22pF";;;
8;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
9;"R7,R5";"R_0805_2012Metric";2;"330";;;
10;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
11;"Y2";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"16 MHz";;;
12;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
13;"C5";"C_0805_2012Metric";1;"100nF";;;
14;"U4";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
15;"J2";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Male";;;
16;"U2";"SOIC127P600X175-8N";1;"DS1337S+";;;
17;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"32.768 KHz";;;
18;"G2";"TE_Logo_11.6x4";1;"LOGO";;;
19;"G***";"TE_Logo_10mm_negative_silkscreen";1;"LOGO";;;
20;"REF1";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
